# tshark packet summary — portscan_capture.pcap
# Capture date: 2026-06-27
# Tool: tshark (Wireshark CLI)
# Source: 172.23.199.164 (Kali WSL)
# Target: 45.33.32.156 (scanme.nmap.org)
# Command: sudo tshark -r /root/captures/portscan_capture.pcap
# Total packets captured: 2375 | Summary shows first 100

FRAME   SRC                 DST                 DST_PORT  FLAGS         INFO
1       172.23.199.164      45.33.32.156                                Echo (ping) request  id=0xf91f, seq=0/0, ttl=40
2       172.23.199.164      45.33.32.156        443       ··········S·  45945 → 443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
3       172.23.199.164      45.33.32.156        80        ·······A····  45945 → 80 [ACK] Seq=1 Ack=1 Win=1024 Len=0
4       172.23.199.164      45.33.32.156                                Timestamp request    id=0x97c2, seq=0/0, ttl=52
5       45.33.32.156        172.23.199.164                              Echo (ping) reply    id=0xf91f, seq=0/0, ttl=45 (request in 1)
6       172.23.199.164      45.33.32.156        1025      ··········S·  46201 → 1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
7       172.23.199.164      45.33.32.156        3389      ··········S·  46201 → 3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
8       172.23.199.164      45.33.32.156        53        ··········S·  46201 → 53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
9       172.23.199.164      45.33.32.156        21        ··········S·  46201 → 21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
10      172.23.199.164      45.33.32.156        22        ··········S·  46201 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
11      172.23.199.164      45.33.32.156        256       ··········S·  46201 → 256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
12      172.23.199.164      45.33.32.156        8888      ··········S·  46201 → 8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
13      172.23.199.164      45.33.32.156        3306      ··········S·  46201 → 3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
14      172.23.199.164      45.33.32.156        113       ··········S·  46201 → 113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
15      172.23.199.164      45.33.32.156        111       ··········S·  46201 → 111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
16      45.33.32.156        172.23.199.164      46201     ·······A·R··  256 → 46201 [RST, ACK] — PORT CLOSED
17      45.33.32.156        172.23.199.164      46201     ·······A·R··  53 → 46201 [RST, ACK] — PORT CLOSED
18      45.33.32.156        172.23.199.164      46201     ·······A·R··  3389 → 46201 [RST, ACK] — PORT CLOSED
19      45.33.32.156        172.23.199.164      46201     ·······A·R··  1025 → 46201 [RST, ACK] — PORT CLOSED
20      45.33.32.156        172.23.199.164      46201     ·······A··S·  22 → 46201 [SYN, ACK] — PORT OPEN ← SSH CONFIRMED
21      172.23.199.164      45.33.32.156        22        ·········R··  46201 → 22 [RST] — STEALTH RESET (SYN scan)
22      172.23.199.164      45.33.32.156        80        ··········S·  46201 → 80 [SYN]
23      172.23.199.164      45.33.32.156        139       ··········S·  46201 → 139 [SYN]
24      172.23.199.164      45.33.32.156        443       ··········S·  46201 → 443 [SYN]
25      172.23.199.164      45.33.32.156        587       ··········S·  46201 → 587 [SYN]
26      172.23.199.164      45.33.32.156        23        ··········S·  46201 → 23 [SYN]
27      172.23.199.164      45.33.32.156        993       ··········S·  46201 → 993 [SYN]
28      172.23.199.164      45.33.32.156        199       ··········S·  46201 → 199 [SYN]
29      172.23.199.164      45.33.32.156        1723      ··········S·  46201 → 1723 [SYN]
30      172.23.199.164      45.33.32.156        110       ··········S·  46201 → 110 [SYN]
31      172.23.199.164      45.33.32.156        5900      ··········S·  46201 → 5900 [SYN]
32      45.33.32.156        172.23.199.164      46201     ·······A·R··  111 → 46201 [RST, ACK] — PORT CLOSED
33      45.33.32.156        172.23.199.164      46201     ·······A·R··  3306 → 46201 [RST, ACK] — PORT CLOSED
34      45.33.32.156        172.23.199.164      46201     ·······A·R··  8888 → 46201 [RST, ACK] — PORT CLOSED
69      45.33.32.156        172.23.199.164      46201     ·······A··S·  80 → 46201 [SYN, ACK] — PORT OPEN ← HTTP CONFIRMED
70      172.23.199.164      45.33.32.156        80        ·········R··  46201 → 80 [RST] — STEALTH RESET (SYN scan)

# ... 2275 additional packets (remaining port probes and RST responses)
# Key findings: Port 22 (SSH) OPEN, Port 80 (HTTP) OPEN — all others CLOSED or no response
# Total packets: 2375 | Scan duration: ~45 seconds
